id,title,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,overview,genres,production_companies,original_language,status
913814,Brian and Charles,1200000,216220,91,2022-06-17,6.3,164,4.0589,"An endearing outlier, Brian lives alone in a Welsh valley, inventing oddball contraptions that seldom work. After finding a discarded mannequin head, Brian gets an idea. Three days, a washing machine, and sundry spare parts later, he’s invented Charles, an artificially intelligent robot who learns English from a dictionary and proves a charming, cheeky companion. Before long, however, Charles also develops autonomy. Intrigued by the wider world — or whatever lies beyond the cottage where Brian has hidden him away — Charles craves adventure.",Comedy|Drama|Science Fiction,Bankside Films|BFI|Film4 Productions|Great Point Media,en,Released
575322,Project Gemini,6000000,211674,98,2022-01-06,5.737,476,2.5943,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",Science Fiction|Thriller,KD Studios,en,Released
777831,9 Bullets,3000000,193908,96,2022-04-14,5.284,141,3.9305,"A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety.",Action|Thriller,Foresight Entertainment|Pop Films|Screen Media Films,en,Released
760926,Gold,6500000,176048,97,2022-01-13,6.19,630,4.09,"In the not-too-distant future, two drifters traveling through the desert stumble across the biggest gold nugget ever found and the dream of immense wealth and greed takes hold. They hatch a plan to excavate their bounty, with one man leaving to secure the necessary tools while the other remains with the gold. The man who remains must endure harsh desert elements, ravenous wild dogs, and mysterious intruders, while battling the sinking suspicion that he has been abandoned to his fate.",Action|Adventure|Thriller,Deeper Water|Rogue Star Productions|Screen Australia|Stan|South Australian Film Corporation,en,Released
511424,"My Sailor, My Love",4600000,159180,102,2022-09-30,6.25,17,1.4525,The thorny relationship between a woman and her retired father worsens after he becomes romantically involved with the housekeeper she hires for him.,Drama|Romance,Making Movies|Samson Films,en,Released
803114,The Requin,8500000,130493,89,2022-01-28,4.8,365,5.6549,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",Horror|Mystery|Thriller,Film Bridge International|Paper Street Pictures|Saban Films,en,Released
850028,"Alice, Darling",4000000,121067,90,2022-12-30,5.659,274,5.9573,"Pushed to the breaking point by Simon, her psychologically abusive boyfriend, Alice becomes an unwitting participant in an intervention staged by her two closest friends while on vacation. As she rediscovers the essence of herself and gains some much-needed perspective, she slowly starts to fray the cords of codependency that bind her. However, Simon's vengeance is as inevitable as it is shattering, and once unleashed, it tests her strength, her courage, and the bonds of deep-rooted friendships.",Thriller|Drama|Romance,Babe Nation Films|Elevation Pictures|Lionsgate,en,Released
744594,White Noise,100000000,71476,136,2022-11-25,5.6,764,6.2724,"Jack Gladney, professor of Hitler studies at The-College-on-the-Hill, husband to Babette, and father to four children/stepchildren, is torn asunder by a chemical spill from a rail car that releases an ""Airborne Toxic Event"" forcing Jack to confront his biggest fear - his own mortality.",Comedy|Drama,Heyday Films|NB/GG Pictures|A24,en,Released
883502,Fortress: Sniper's Eye,22000000,69075,87,2022-04-29,5.2,170,3.331,"Weeks after the deadly assault on Fortress Camp, Robert makes a daring rescue to save Sasha, the widow of his old nemesis Balzary. But back in the camp's command bunker, it appears Sasha may have devious plans of her own. As a new attack breaks out, Robert is confronted with a familiar face he thought he'd never see again…",Action|Thriller|Crime,EFO Films|Grindstone Entertainment Group,en,Released
772973,The Inhabitant,1600000,36972,97,2022-10-07,6.0,116,8.9161,"Like any other teenage girl, Tara is just surviving high school — yet her father and mother seem strangely distant. Amidst a nearby spree of gruesome ax murders, Tara has sightings of terrifying entities, forcing her to question her own sanity and shocking ancestry.",Thriller|Horror|Mystery,Gravitas Ventures|Highland Film Group|Steelyard Pictures|R.U. Robot Studios,en,Released
747803,One Way,5000000,30272,96,2022-09-02,5.802,134,0.9866,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into a rainy night in Georgia. With his life slipping through his fingers, Freddy is left with very few choices to survive.",Action|Crime|Thriller,Highland Film Group|Bay Point Media|23ten|Particular Crowd|Streamline Global|Thomasville Pictures|Ignition Film Productions|Source Management + Production|Short Porch Pictures|Baird Film,en,Released
346698,Barbie,145000000,1447138421,114,2023-07-19,6.944,10503,15.1641,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",Comedy|Adventure,LuckyChap Entertainment|Heyday Films|NB/GG Pictures|Mattel|Warner Bros. Pictures,en,Released
502356,The Super Mario Bros. Movie,100000000,1362000000,93,2023-04-05,7.603,10099,18.9751,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",Family|Comedy|Adventure|Animation|Fantasy,Universal Pictures|Illumination|Nintendo,en,Released
872585,Oppenheimer,100000000,952000000,181,2023-07-19,8.045,11015,15.2753,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Drama|History,Syncopy|Universal Pictures|Atlas Entertainment|Breakheart Films|Peters Creek Entertainment,en,Released
447365,Guardians of the Galaxy Vol. 3,250000000,845550000,150,2023-05-03,7.932,7808,12.5054,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",Science Fiction|Adventure|Action,Marvel Studios|Kevin Feige Productions,en,Released
385687,Fast X,340000000,704709660,142,2023-05-17,7.015,6117,17.1658,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Action|Crime|Thriller,Universal Pictures|Original Film|One Race|Perfect Storm Entertainment,en,Released
569094,Spider-Man: Across the Spider-Verse,100000000,690897910,140,2023-05-31,8.34,8059,15.487,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",Animation|Action|Adventure|Science Fiction,Columbia Pictures|Sony Pictures Animation|Lord Miller|Pascal Pictures|Arad Productions|Marvel Entertainment,en,Released
787699,Wonka,125000000,634502312,117,2023-12-06,7.053,4132,7.8955,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",Comedy|Family|Fantasy,Warner Bros. Pictures|Village Roadshow Pictures|The Roald Dahl Story Company|Heyday Films|Domain Entertainment,en,Released
575264,Mission: Impossible - Dead Reckoning Part One,291000000,571125435,164,2023-07-08,7.518,4746,12.7313,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",Action|Thriller,Paramount Pictures|Skydance Media|TC Productions,en,Released
447277,The Little Mermaid,297000000,569626289,135,2023-05-18,6.29,3190,11.67,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",Adventure|Family|Fantasy|Romance,Walt Disney Pictures|Lucamar Productions|Marc Platt Productions,en,Released
976573,Elemental,200000000,496444308,102,2023-06-14,7.593,5042,13.1059,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",Family|Fantasy|Comedy|Romance|Animation,Pixar,en,Released
640146,Ant-Man and the Wasp: Quantumania,200000000,476071180,125,2023-02-15,6.254,5526,5.8281,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Action|Adventure|Science Fiction,Marvel Studios|Kevin Feige Productions,en,Released
667538,Transformers: Rise of the Beasts,195000000,441381193,127,2023-06-06,7.2,5088,10.8871,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",Science Fiction|Adventure|Action,Skydance Media|Paramount Pictures|di Bonaventura Pictures|Bay Films|New Republic Pictures|DeSanto/Murphy Productions|Hasbro,en,Released
572802,Aquaman and the Lost Kingdom,205000000,440181226,124,2023-12-20,6.565,3287,9.162,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",Action|Adventure|Fantasy,Warner Bros. Pictures|The Safran Company|Atomic Monster|DC Films|Domain Entertainment,en,Released
603692,John Wick: Chapter 4,100000000,440157245,170,2023-03-22,7.7,7502,14.4314,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Action|Thriller|Crime,Thunder Road|87Eleven|Studio Babelsberg|Lionsgate,en,Released
615656,Meg 2: The Trench,129000000,384056482,116,2023-08-02,6.405,3788,6.7489,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,Action|Science Fiction|Horror,Apelles Entertainment|Warner Bros. Pictures|di Bonaventura Pictures|CMC Pictures|Onaroll Productions|DF Pictures,en,Released
335977,Indiana Jones and the Dial of Destiny,294700000,383963057,155,2023-06-25,6.53,3878,8.5971,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",Adventure|Action,Lucasfilm Ltd.,en,Released
695721,The Hunger Games: The Ballad of Songbirds & Snakes,100000000,337371917,157,2023-11-15,7.002,3278,6.9081,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.",Science Fiction|Action,Lionsgate|Color Force|about:blank|Studio Babelsberg,en,Released
940551,Migration,72000000,298776052,83,2023-12-06,7.38,2133,9.6537,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Family|Comedy|Adventure|Animation,Universal Pictures|Illumination,en,Released
507089,Five Nights at Freddy's,20000000,297144130,110,2023-10-25,7.375,4647,39.9168,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",Horror|Thriller,Blumhouse Productions|Scott Cawthon Productions,en,Released
677179,Creed III,75000000,275300000,116,2023-03-01,7.1,2749,4.6805,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",Drama|Action,Metro-Goldwyn-Mayer|Chartoff-Winkler Productions|Proximity Media|Outlier Society,en,Released
298618,The Flash,220000000,271333313,144,2023-06-13,6.6,4772,9.2164,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",Action|Science Fiction|Adventure,Warner Bros. Pictures|Double Dream|The Disco Factory|DC Films,en,Released
968051,The Nun II,38500000,269670590,110,2023-09-06,6.676,2358,6.8167,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",Horror,New Line Cinema|Atomic Monster|The Safran Company,en,Released
1160164,TAYLOR SWIFT | THE ERAS TOUR,15000000,261656269,169,2023-10-13,8.2,483,2.0625,"A concert film documenting Taylor Swift's record-breaking Eras Tour (2023-2024). Filmed during the Los Angeles shows, the film captures the tour's ten acts, each representing a different musical era from Swift's career. The film showcases over 40 songs, elaborate stage productions, and Swift's performance.",Music,Taylor Swift Productions|Silent House Productions,en,Released
1022796,Wish,175000000,254997360,95,2023-11-13,6.265,1692,5.7919,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",Animation|Family|Fantasy|Adventure,Walt Disney Animation Studios,en,Released
678512,Sound of Freedom,14500000,250600000,131,2023-07-03,7.976,2638,3.1651,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",Action|Drama,Santa Fe Films,en,Released
753342,Napoleon,165000000,220597098,158,2023-11-22,6.317,2913,6.8401,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",History|War|Romance,Apple Studios|Scott Free Productions,en,Released
1072790,Anyone But You,25000000,214891370,103,2023-12-21,6.833,2810,8.2823,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",Romance|Comedy,Olive Bridge Entertainment|Roth-Kirschenbaum Films|SK Global Entertainment|Columbia Pictures,en,Released
901362,Trolls Band Together,95000000,209646030,91,2023-10-12,7.266,942,7.4025,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",Animation|Family|Music|Fantasy|Comedy,DreamWorks Animation,en,Released
493529,Dungeons & Dragons: Honor Among Thieves,151000000,208200000,134,2023-03-23,7.3,4252,6.0223,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",Adventure|Fantasy|Comedy,Entertainment One|Paramount Pictures,en,Released
609681,The Marvels,274800000,206136825,105,2023-11-08,6.0,3165,8.0174,"When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",Science Fiction|Adventure|Action,Marvel Studios|Kevin Feige Productions,en,Released
893723,PAW Patrol: The Mighty Movie,30000000,202231360,88,2023-09-21,7.026,525,8.8261,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",Family|Comedy|Adventure|Animation,Nickelodeon Movies|Spin Master|Paramount Pictures|Mikros Image|Mikros Animation,en,Released
926393,The Equalizer 3,70000000,191067560,109,2023-08-30,7.295,3484,10.0871,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Action|Thriller|Crime,Columbia Pictures|Eagle Pictures|Escape Artists|ZHIV Productions,en,Released
614479,Insidious: The Red Door,16000000,189086877,107,2023-07-05,6.5,1874,4.5875,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",Horror|Thriller,Blumhouse Productions|Stage 6 Films|Screen Gems,en,Released
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,75000000,180513586,100,2023-07-31,7.213,1497,6.438,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",Animation|Comedy|Action|Science Fiction,Paramount Pictures|Nickelodeon Movies|Point Grey Pictures|Cinesite Animation|Mikros Animation,en,Released
934433,Scream VI,35000000,168961389,123,2023-03-08,7.0,2949,6.3242,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",Horror|Crime|Thriller,Radio Silence|Project X Entertainment|Spyglass Media Group|Paramount Pictures,en,Released
